canonical_chain_id,canonical_chain_name,from_year,to_year,from_score,to_score,score_change,change_type,from_forms,to_forms,from_providers,to_providers,from_evidence_quote,to_evidence_quote
S0378,Church’s,2023,2024,1,0,-1,support → 0,passive_sba_directory_access,no_financing_involvement,third_party,none,"Neither we nor any agent or affiliate offers direct or indirect financing to you, guarantees any note, lease or obligation of yours, or has any practice or intent to sell, assign or discount to a third party all or any part of any financing arrangement of yours. || we are listed on the SBA Franchise Registry. The SBA Franchise Registry is a listing, hosted through FRANdata, of franchise systems whose franchisees may receive faster SBA loan processing because the franchise agreement has been pre-approved by the SBA.","Neither we nor any agent or affiliate offers direct or indirect financing to you, guarantees any note, lease or obligation of yours, or has any practice or intent to sell, assign or discount to a third party all or any part of any financing arrangement of yours."
S0380,Cinnabon,2025,2026,4,1,-3,other decrease,lender_referral | sba_access_facilitation | third_party_financing_arrangement_assistance | franchisor_or_affiliate_equipment_lease,lender_referral | sba_access_facilitation | financing_application_assistance,franchisor | affiliate | third_party,third_party,"We do not offer financing for trade fixtures, opening inventory, or any other purpose. || We may refer you to leasing or financing companies not affiliated with us. We and our affiliates receive no fees or other financial benefits from any lender for your financing. Currently, we will not guarantee your note, lease, or obligation, for any lender, or any other person or entity. || We or our affiliate, in our or their sole discretion and subject to availability, may lease to qualified franchisees an SRU as an additional selling location within the mall, airport, enclosed building or other retail location where an existing Bakery is located. || We may sell, assign, or discount to a third party any note, financing-related contract or other instrument you give to us.","We do not offer financing for trade fixtures, opening inventory, or any other purpose. || We may refer you to leasing or financing companies not affiliated with us. || Currently, we will not guarantee your note, lease, or obligation, for any lender, or any other person or entity. || We participate in the SBA’s Franchise Directory."
U_585a1b93,"CleanNet U.S.A., INC",2023,2024,2,4,2,other increase,initial_fee_installment | seller_fee_financing | seller_inventory_or_equipment_credit,initial_fee_installment | seller_fee_financing | direct_loan,franchisor,franchisor,"Currently, we offer financing of the initial franchise fee (less the required down payment specified in the chart below). || Currently, we also offer financing of the Finder’s Fee (see Item 6). || We may offer financing for equipment and supplies. If we do, we will finance the balance for one year at 9% interest per annum, beginning when you purchase the equipment package. || Any financing identified in this Item is provided by us and not our affiliate or any third party. || We have no practice or intent to sell, assign or discount to a third party all or part of any of your financing arrangements.","Any financing identified in this Item is provided by us and not our affiliate or any third party. || Currently, we offer financing of the initial franchise fee (less the required down payment specified in the chart below). || Currently, we also offer financing of the Finder’s Fee (see Item 6). You will pay us a down payment that is up to 50% of the Finder's Fee when each additional customer is accepted, and we will finance the balance for 1 year at 9% interest per annum, beginning the 1st month that services are performed. || We may offer financing for equipment and supplies. If we do, we will finance the balance for one year at 9% interest per annum, beginning when you purchase the equipment package. || We have no practice or intent to sell, assign or discount to a third party all or part of any of your financing arrangements."
U_585a1b93,"CleanNet U.S.A., INC",2024,2025,4,2,-2,other decrease,initial_fee_installment | seller_fee_financing | direct_loan,initial_fee_installment | seller_fee_financing | seller_inventory_or_equipment_credit | seller_fee_financing | direct_loan,franchisor,franchisor,"Any financing identified in this Item is provided by us and not our affiliate or any third party. || Currently, we offer financing of the initial franchise fee (less the required down payment specified in the chart below). || Currently, we also offer financing of the Finder’s Fee (see Item 6). You will pay us a down payment that is up to 50% of the Finder's Fee when each additional customer is accepted, and we will finance the balance for 1 year at 9% interest per annum, beginning the 1st month that services are performed. || We may offer financing for equipment and supplies. If we do, we will finance the balance for one year at 9% interest per annum, beginning when you purchase the equipment package. || We have no practice or intent to sell, assign or discount to a third party all or part of any of your financing arrangements.","Currently, we offer financing of the initial franchise fee ... the balance of the initial fee is payable in monthly installments, at an interest rate of 9% per annum || Currently, we also offer financing of the Finder’s Fee ... we will finance the balance for 1 year at 9% interest per annum || We may offer financing for equipment and supplies. If we do, we will finance the balance for one year at 9% interest per annum || Any financing identified in this Item is provided by us and not our affiliate or any third party. || We have no practice or intent to sell, assign or discount to a third party all or part of any of your financing arrangements."
S0392,Clothes Bin,2022,2023,0,2,2,0 → support,no_financing_involvement,seller_asset_credit | seller_fee_financing | seller_inventory_or_equipment_credit,none,franchisor,"We do not offer direct or indirect financing. || We do not guarantee your notes, leases or any of your obligations.","We offer, to our current franchisees only, and who are in good standing under their Franchise Agreements, financing for up to 75% of the costs to purchase additional Bins, and related freight costs, closing costs and, if they chose, Bin Placement Service fees. || The form of the Promissory Note for the loan is attached to this disclosure document as Exhibit I. || Except for the above, we do not offer direct or indirect financing. We do not guarantee your notes, leases or any of your obligations."
S0395,Club Pilates,2024,2025,1,0,-1,support → 0,formal_third_party_financing_program | lender_referral_compensation,no_financing_involvement,third_party,none,"We offer indirect financing through the third-party providers described below for certain amounts due under the Franchise Agreement. || In addition, Amerifund pays us a $500 rebate per deal they finance. We do not guarantee your note, lease or any other obligation. We do not offer direct financing and as such it is not our practice or intent to sell, assign, or discount any financing arrangement.","We do not offer direct or indirect financing. || We do not guarantee your note, lease or obligation. || While we do not offer direct or indirect financing, certain third-party lenders, such as Amerifund and Navitas, have sponsored our convention in the past and may do so in the future, but we are unaware of the terms of any financing you may, if at all, obtain from these or other lenders."
S2157,Code Ninjas,2023,2024,1,0,-1,support → 0,formal_third_party_financing_program | lender_referral_compensation,no_financing_involvement,third_party,none,"We do not generally offer, directly or indirectly, any financing to you to help you establish your business, except as set forth in this Item 10. We do not guarantee your notes, leases, or other obligations. || Guidant Financial Group, Inc. (“Guidant”) provides a program to our franchisees that allows you to use your retirement funds to buy your business without incurring tax penalties or getting a loan. || We have a separate agreement with Guidant which requires that we be paid $1,000 as a referral fee for each franchisee that engages in their retirement rollover program. There is no direct affiliation between us and Guidant.","We do not generally offer, directly or indirectly, any financing to you to help you establish your business. We do not guarantee your notes, leases, or other obligations."
S0407,Colors on Parade,2024,2025,0,4,4,0 → support,no_financing_involvement,direct_loan | affiliate_equipment_lease,none,franchisor,"We do not offer direct or indirect financing. || We do not guarantee your note, lease or obligation.","we or the Sponsoring Franchisee will purchase, equip and lease an operating unit and equipment to the LLC and lend $2,500 - $10,000 to the LLC for initial working capital, including the organizational costs of the LLC, the initial franchise fee, training fees and other sums payable to us under the Franchise Agreement and any other initial expenses of the business. || It is not our practice or intent to sell, assign, or discount to a third party all or part of the financing arrangement. || Except as disclosed above, we do not offer direct or indirect financing. We do not guarantee your note, lease or obligation."
U_68e05509,"Complete Music, Inc",2023,2024,1,0,-1,support → 0,passive_sba_directory_access,no_financing_involvement,third_party,none,"We do not offer direct or indirect financing. We do not guarantee your note, lease or obligation. || COMPLETE WEDDINGS + EVENTS® franchisees may be eligible for expedited Small Business Administration loan processing through the SBA’s Franchise Directory Program","We do not offer direct or indirect financing. || We do not guarantee your note, lease or obligation."
S0414,Computer Troubleshooters,2016,2017,1,0,-1,support → 0,lender_referral | no_financing_involvement,no_financing_involvement,none | third_party,none,"We do not offer direct or indirect financing || We do not guarantee your note, lease or obligation || We may provide you, on a voluntary basis, with suggestions for financing sources, but we are not obligated to provide you such documents, and we do not negotiate any financing arrangement","We do not offer direct or indirect financing || We do not guarantee your note, lease or obligation || We may provide you, on a voluntary basis, with suggestions for financing sources, but we are not obligated to provide you such documents, and we do not negotiate any financing arrangement"
S0414,Computer Troubleshooters,2017,2018,0,1,1,0 → support,no_financing_involvement,lender_referral,none,third_party,"We do not offer direct or indirect financing || We do not guarantee your note, lease or obligation || We may provide you, on a voluntary basis, with suggestions for financing sources, but we are not obligated to provide you such documents, and we do not negotiate any financing arrangement","We do not offer direct or indirect financing || We may provide you, on a voluntary basis, with suggestions for financing sources, but we are not obligated to provide you such documents, and we do not negotiate any financing arrangement"
U_b78cc690,"CP Franchising, LLC",2017,2018,2,0,-2,support → 0,initial_fee_installment,initial_fee_installment | no_financing_involvement,franchisor,franchisor | none,"We may finance the initial franchise fee for qualified applicants for the Inexperienced Travel Agent category. || If you qualify, you must pay $5,500 toward the initial franchise fee, and issue a promissory note in the form attached to the Franchise Agreement as Schedule 3 (the “Note”) for the balance, when you sign this Agreement. || Although we may assign the Note, commercial paper from franchisees has not been, and is not, sold or assigned to anyone, and we have no plans to do so. || We do not guarantee your obligation to third parties.","We may finance the initial franchise fee for qualified applicants for the Inexperienced Travel Agent category. If you qualify, you must pay $6,000 toward the initial franchise fee, and issue a promissory note for the balance || We do not arrange financing from other sources. || We do not guarantee your obligation to third parties. || Although we may assign the Note, commercial paper from franchisees has not been, and is not, sold or assigned to anyone, and we have no plans to do so."
S7891,CR3 American Exteriors (Area Representative),2023,2024,0,2,2,0 → support,no_financing_involvement,seller_fee_financing,none,franchisor,"We do not offer Financing, nor do we guarantee any loans.","Item Financed: All or a Portion of the Initial Franchise Fee. || Source of Financing: Us || We do not have any past or present practice to sell, assign or discount to any third party, any note, contract or other instrument signed by you, but we reserve the right to do so."
S0437,Creative Colors International,2014,2015,3,4,1,other increase,third_party_equipment_leasing | franchisor_lease_payment_guarantee | financing_application_assistance,franchisor_equipment_lease | lease_guarantee,franchisor | third_party,franchisor | third_party,"We have made arrangements where you can lease your Van from us through a third party agreement with Enterpnse Fleet Services and your payments would be made through us || We do guarantee the van lease if leased through Enterprise || We may, at your request, assist you in obtaining financing from a third party for all or part of your investment. We will not guarantee any part of your obligation. || We reserve the right to assign, pledge or transfer our rights under the Van Lease Agreement to a third party. If we exercise that right, we will remain primarily obligated to provide you the leased van.","We have made arrangements where you can lease your Van from us through a third party agreement with Enterprise Fleet ServicesManagement and your payments would be made through us. || The above arrangement represents financing of ^85% of the Delivered Price of the van. || We do guarantee the van lease if leased through Enterprise. || We reserve the right to assign, pledge or transfer our rights under the Van Lease Agreement to a third party."
S0437,Creative Colors International,2015,2016,4,3,-1,other decrease,franchisor_equipment_lease | lease_guarantee,lease_guarantee | financing_application_assistance,franchisor | third_party,third_party | franchisor,"We have made arrangements where you can lease your Van from us through a third party agreement with Enterprise Fleet ServicesManagement and your payments would be made through us. || The above arrangement represents financing of ^85% of the Delivered Price of the van. || We do guarantee the van lease if leased through Enterprise. || We reserve the right to assign, pledge or transfer our rights under the Van Lease Agreement to a third party.","We do guarantee the van lease if leased through Enterprise. || We may, at your request, assist you in obtaining financing from a third party for all or part of your investment. We will not guarantee any part of your obligation. || We reserve the right to assign, pledge or transfer our rights under the Van Lease Agreement to a third party."
S0442,Critter Control,2024,2025,1,4,3,other increase,formal_third_party_financing_program,direct_loan | accounts_receivable_purchase,third_party,franchisor | affiliate,"RAC offers financing arrangements to prospective and current qualified franchisees || Neither Critter Control nor any of its affiliates receive any payments for the placement of financing with RAC || Critter Control does not guarantee any of your notes, leases or other obligations.","RAC or Critter Control ... offers financing arrangements to prospective and current qualified franchisees in three different situations || If you meet RAC or Critter Control’s credit standards, it will finance up to 85% of those costs over a five year period || RAC may be willing to purchase the customer's installment obligation at a discount and with the payment of a merchant fee. || We may sell, assign, or discount to a third party any note, financing-related contract or other instrument you give to us."
S5002,Cruise Planners,2022,2023,1,0,-1,support → 0,formal_third_party_financing_program,no_financing_involvement,third_party,none,"We have arranged for 3rd-party banks, including primarily Kansas-chartered CBW Bank, to provide financing for up to the total amount of your initial franchise fee, less $1,000, in all states except Colorado, Iowa and West Virginia as of the date of this disclosure document. || Except as described above, neither we nor any of our agents or affiliates: offer direct or indirect financing to you; guarantee any of your notes, leases or obligations; or have any practice or intent to sell, assign or discount to a 3rd party all or part of any of your financing arrangements.","Neither we nor any agent or affiliate offers direct or indirect financing to you, guarantees any note, lease or obligation of yours, or has any practice or intent to sell, assign or discount to a third party all or part of any financing arrangement of yours."
S4360,Crumbl,2024,2025,4,0,-4,support → 0,direct_loan,no_financing_involvement,franchisor,none,"We (Crumbl Franchising, LLC) are the lender || we offer financing to a minimum number of qualified managers, who are selected at our discretion, for various expenses, including, but not limited to, site acquisition, build out, equipment purchases, and working capital. || It is not our practice or intent to sell, assign, or discount to a third party all or part of this financing arrangement.","Neither we nor our affiliates offer direct or indirect financing. || We do not guarantee your note, lease, or obligation. || There may be SBA financing to assist with the purchase of this franchise."
S6299,Créatif,2022,2023,1,0,-1,support → 0,preferred_lender_referral | third_party_financing_arrangement_assistance,no_financing_involvement,third_party,none,"We do not offer direct or indirect financing. We do not guarantee any note, lease, or obligation on your behalf. || We have a preferred loan broker, Pango Financial, LLC, to source financing on behalf of franchisees who require lending. || We have a preferred third-party funding provider, Benetrends, who assists in 401K rollovers and other business funding options.","We do not offer direct or indirect financing. || We do not guarantee any note, lease, or obligation on your behalf."
S0448,Culligan,2021,2022,1,0,-1,support → 0,formal_third_party_financing_program,no_financing_involvement,third_party,none,"We do not offer direct or indirect financing. We do not guarantee your note, lease or obligation. || We have developed a financing program with Aqua Finance, Inc. (“AFI”) for the financing of your customers' purchases... || we have no arrangement with AFI or any other party to offer you any financing, including through leases or installment contracts... || We do not receive any fees or other consideration from AFI for financing AFI provides to our dealers...","We do not offer direct or indirect financing. We do not guarantee your note, lease or obligation. || we have no arrangement with AFI or any other party to offer you any financing"
S0452,CycleBar,2024,2025,1,0,-1,support → 0,formal_third_party_financing_program | lender_referral_compensation | formal_third_party_financing_program | third_party_equipment_leasing | lender_referral_compensation,no_financing_involvement,third_party,none,"We offer indirect financing through the third-party providers described below for certain amounts due under the Franchise Agreement. || We do not guarantee your note, lease or any other obligation. || We do not offer direct financing and as such it is not our practice or intent to sell, assign, or discount any financing arrangement. || Amerifund pays us a $500 rebate per deal they finance.","We do not offer direct or indirect financing. || We do not guarantee your note, lease or obligation. || While we do not offer direct or indirect financing, certain third-party lenders, such as Amerifund and Navitas, have sponsored our convention in the past and may do so in the future, but we are unaware of the terms of any financing you may, if at all, obtain from these or other lenders."
U_476e3eb3,Daigle Cleaning Systems,2023,2024,2,1,-1,other decrease,initial_fee_deferral | initial_fee_installment | third_party_financing_arrangement_assistance,third_party_financing_arrangement_assistance,franchisor | third_party,third_party,"All DCS franchisees pay a franchise fee of $35,000 to Franchisor, which is payable as follows: || $10,000 upon signing the franchise agreement, with the remaining $25,000 due on the first anniversary of signing the franchise agreement, with no interest being charged; || $10,000 upon signing the franchise agreement with the remaining $25,000 payable in 24 monthly installments of principal plus interest at a rate of 10% compounded monthly || We may arrange trade terms with approved vendors or suppliers. || We do not guarantee your obligations to third parties.","We may arrange trade terms with approved vendors or suppliers. || No financing is available. || We do not guarantee your note, lease or obligation."
U_a789408e,"Delta Development Group, LLC",2015,2016,1,0,-1,support → 0,passive_sba_directory_access | third_party_lender_introduction | sba_access_facilitation | lender_referral,no_financing_involvement,third_party,none,"We do not offer direct or indirect financing, do not guarantee your loans, lease or other obligations, and do not receive payments or other consideration for the placement of financing. || You are eligible for expedited and streamlined U S Small Business Administration (""SEA"") loan processing through the SBA's Franchise Registry Program. || If you need financing for your franchise purchase, we can introduce you to our contacts at Benetrends and BoeFly, companies that provide financing services to prospective franchise owners.",ITEM 10  FINANCING  24
U_a789408e,"Delta Development Group, LLC",2016,2017,0,1,1,0 → support,no_financing_involvement,lender_referral | sba_access_facilitation | third_party_lender_introduction,none,third_party,ITEM 10  FINANCING  24,"We do not offer direct or indirect financing, do not guarantee your loans, lease or other obligations, and do not receive payments or other consideration for the placement of financing || If you need financing for your franchise purchase, we can introduce you to our contacts at Benetrends and BoeFly companies that provide financing services to prospective franchise owners || You are eligible for expedited and streamlined U.S. Small Business Administration ('SBA') loan processing through the SBA's Franchise Registry Program"
U_a789408e,"Delta Development Group, LLC",2017,2018,1,2,1,other increase,lender_referral | sba_access_facilitation | third_party_lender_introduction,seller_fee_financing,third_party,franchisor,"We do not offer direct or indirect financing, do not guarantee your loans, lease or other obligations, and do not receive payments or other consideration for the placement of financing || If you need financing for your franchise purchase, we can introduce you to our contacts at Benetrends and BoeFly companies that provide financing services to prospective franchise owners || You are eligible for expedited and streamlined U.S. Small Business Administration ('SBA') loan processing through the SBA's Franchise Registry Program","We will provide financing for up to fifty percent of the Initial Franchise Fee. || The balance will be paid to us in consecutive monthly payments until paid in full. || We do not guarantee your note, lease or obligation;"
S2351,Denny's,2023,2024,4,2,-2,other decrease,direct_loan | seller_store_purchase_financing,seller_asset_credit | seller_store_purchase_financing,franchisor | affiliate,franchisor,"We are not obligated to do so, but we occasionally offer to finance the purchase of POS systems and other items introduced into the Denny’s System. || In limited circumstances, DI may finance a portion of the purchase price of a former company restaurant. || DI does not practice nor does it intend to sell, assign, or discount to a third party all or part of the Security Agreement and/or Promissory Note.","we occasionally offer to finance the purchase of POS systems and other items introduced into the Denny’s System || DI may finance a portion of the purchase price of a former company restaurant || have not in the past sold, assigned, or discounted to a third party, in whole or in part, any note, contract, or other instrument executed by a franchisee"
S2351,Denny's,2024,2025,2,4,2,other increase,seller_asset_credit | seller_store_purchase_financing,direct_loan | seller_store_purchase_financing,franchisor,franchisor | franchisor | affiliate,"we occasionally offer to finance the purchase of POS systems and other items introduced into the Denny’s System || DI may finance a portion of the purchase price of a former company restaurant || have not in the past sold, assigned, or discounted to a third party, in whole or in part, any note, contract, or other instrument executed by a franchisee","we occasionally offer to finance the purchase of POS systems and other items introduced into the Denny’s System. || In limited circumstances, DI may finance a portion of the purchase price of a former company restaurant. || DI does not practice nor does it intend to sell, assign, or discount to a third party all or part of the Security Agreement and/or Promissory Note."
S8537,Destination by Hyatt,2022,2023,0,4,4,0 → support,no_financing_involvement,direct_loan,none,franchisor,"Neither we nor our affiliates offer direct or indirect financing. Neither we nor our affiliates guarantee your note, lease or obligation.","However, in some cases we periodically may offer financial assistance to franchisees developing new Brand Hotels or converting existing hotels from other brands to the Hotel System. || The terms of any financial assistance, including amount, interest rate, and repayment terms, will vary widely || Neither we nor our affiliates guarantee your note, lease or obligation."
S2087,Detail Garage,2015,2016,0,2,2,0 → support,no_financing_involvement,seller_inventory_or_equipment_credit,none,affiliate,"We do not offer direct or indirect financing for any amount due under the Franchise Agreement or Area Development Agreement || We do not guarantee your note, lease or any other obligation","We do not offer direct or indirect financing for any amount due under the Franchise Agreement or Area Development Agreement || Depending on your credit, our affiliate. Smart, Inc may offer financing or extended payment terms on inventory and product sales to you"
S0505,Dickey's Barbecue Pit,2014,2015,4,1,-3,other decrease,THIRD_PARTY_REFERRAL_ACCESS | DEVELOPMENT_INCENTIVE_FORGIVABLE_CAPITAL,lender_referral,franchisor | third_party | third_party,third_party,Dickey's will refer you to independent lenders who may finance some portion of your initial investment || Dickey's does not receive any consideration for placing financing with any lenders || Dickey's does not guarantee your note lease or any other obligation || Dickeys offers periodic special equipment financing programs for new franchisees || deliver to the franchisee's restaurant a major equipment item such as a computer system a smoker exterior signage or a vent hood having a retail price of not || have a nght of repurchase for the equipment for a price of $10 00 that will lapse on tho fifth anniversary of the opening date of the Restaurant,"Dickey's does not offer direct or indirect financing || Upon request, Dickey's will refer you to independent lenders who may finance some portion of your initial investment || Dickey's does not receive any consideration for placing financing with any lenders || Dickey's does not guarantee your note, lease or any other obligation"
S5054,Discovery Map,2015,2016,0,2,2,0 → support,no_financing_involvement,seller_fee_financing,none,franchisor | affiliate,"Neither we nor any agent or affiliate ... direct or indirect financing to you, any note, lease or obligation of yours, or ... any practice or intent to sell, assign or discount to a third party all or any part of any financing arrangement of yours","DISCOVERY MAP INTERNATIONAL, INC will finance a portion of the Imtial Franchise Fee for applicants, which it determines m its sole discretion are qualified || DISCOVERY MAP INTERNATIONAL, INC or an affiliated company || It IS not the franchisor’s practice, or intent to sell assign, or discount to a third party all or part of the financing arrangement"
S2745,DoodyCalls,2022,2023,0,2,2,0 → support,no_financing_involvement,initial_fee_installment,none,franchisor,"We do not offer direct or indirect financing to franchisees. || We will not guarantee your promissory note, lease, or other obligation.","In our discretion, we may permit you to finance up to 75% of the Franchise Fee rather than paying the entire amount in a lump sum when you sign the Franchise Agreement. || If financed, the balance of the Franchise Fee can be paid in up to 36 monthly installments of principal and interest at an interest rate of 12% per annum beginning on the first of the month following the first full month after you sign your Franchise Agreement. || We may sell, assign or discount the Promissory Note to a third party."
U_f20da828,DRIVING ACADEMY,2022,2023,1,0,-1,support → 0,lender_referral,no_financing_involvement,third_party,none,"Neither we, nor our affiliate currently offers, directly or indirectly, any financing arrangements to you. || We may assist franchisees in obtaining financing in the future or make other financing arrangements available to you by referring you to third-parties","We do not offer direct or indirect financing. || We do not guarantee your note, lease or obligation."
S0529,Dunkin,2022,2023,1,0,-1,support → 0,third_party_financing_arrangement_assistance | formal_third_party_financing_program | lender_referral_compensation,no_financing_involvement,third_party,none,"We may from time-to-time negotiate certain rates for lending arrangements, through third-party lenders, which may provide financing for qualified franchisees. || The following guaranteed financing program was developed in partnership with FNB to finance new site development, remodels, and equipment, to certain franchisees previously approved by us. || We will receive a fee from FNB as part of this Program. || Outside of the financing described below, we do not offer direct or indirect financing. We do not guaranty your note, lease, or obligation.","We do not offer direct or indirect financing. || We do not guarantee your note, lease, or obligation."
U_61564522,"EI FRANCHISE COMPANY, LLC",2015,2016,3,4,1,other increase,passive_sba_directory_access | supplier_account_guarantee,passive_sba_directory_access | seller_inventory_or_equipment_credit | supplier_account_guarantee | direct_loan,franchisor | affiliate | third_party,franchisor | affiliate | third_party,"You are eligible for expedited and streamlined Small Business Administration (""SBA"") loan processing through the SBA's Franchise Registration Program || We are typically required to guaranty your payments to suppliers for inventory items that you order through our buying program || Except as described above, neither we nor any agent or affiliate offer direct or indirect financing to you. We do not guarantee your note, lease or other obligations.","You are eligible for expedited and streamlined Small Business Administration (""SBA"") loan processing through the SBA's Franchise Registration Program See www franchiseregistry com || Payments are made to us or our affiliates by a date set by us which is prior to the due date unposed by the supplier of the particular mventory item || we and our afiHliates reserve the right to take advantage of supplier discounts by paying the supplier prior to receivmg payment from you || We are typically requued to guaranty your payments to suppliers for mventory items that you order through our buying program"
U_49144ee3,"El Centro Foods, Inc",2016,2017,2,0,-2,support → 0,initial_fee_deferral | seller_inventory_or_equipment_credit | seller_fee_financing | seller_inventory_or_equipment_credit,no_financing_involvement,franchisor,none,El Centro finances one-half the  initial franchise fee and beginning inventory for qualified applicants || The note is secured by a secunty agreement and is made pursuant to a purchase agreement || El Centro offers no other direct or indirect method of financing to you,"El Centro does not offer direct or indirect financing. El Centro does not guarantee your note, lease, or obligation."
S0581,Enviro-Master Services,2023,2024,0,4,4,0 → support,no_financing_involvement,direct_loan,none,franchisor,"We do not offer direct or indirect financing. || We do not guarantee your note, lease or obligation.","At our choice, in our sole discretion, we may offer you the opportunity to finance up to $10,000 of your costs for certain large equipment purchases that are not part of the initial equipment package described in Item 5 and Item 7 of this franchise disclosure document, at an annual interest rate of 0%. || The terms of any such financing will be governed by a Promissory Note between us and you, a copy of the form of Promissory Note is attached to this disclosure document as Exhibit E || We take a security interest in the equipment that you are financing through the Promissory Note, as well as your accounts receivable, until the balance of the Promissory Note has been paid off."
S2712,Environment Control Building Maintenance Company,2016,2017,2,4,2,other increase,seller_fee_financing | direct_loan | seller_fee_financing | discretionary_financial_assistance_instrument_unspecified,initial_fee_deferral | discretionary_financial_assistance_instrument_unspecified | seller_fee_financing | discretionary_financial_assistance_instrument_unspecified,franchisor,franchisor,"EC will make available to qualified Franchisees the financing of 50 percent of the initial Franchise Fee || Other than the financing of a portion of the initial franchise fee to Franchisees EC does not offer direct or indirect financing provided that at the sole discretion of EC, EC may provide financing to Owners/Managers of existing franchises for costs other than franchise fees || EC does not guarantee any note lease or other obligation || Exhibit E, Promissory Note further outlines the terms and conditions of this loan and remedies for default","EC will make available to qualified Franchisees the financing of 50 percent of the initial Franchise Fee. || The loan is directly financed by EC || Other than the financing of a portion of the initial franchise fee to Franchisees, EC does not offer direct or indirect financing; provided, that at the sole discretion of EC, EC may provide financing to Owners/Managers of existing franchises for costs other than franchise fees."
S6452,EOS Worldwide,2021,2022,0,1,1,0 → support,no_financing_involvement,passive_sba_directory_access,none,third_party,We do not offer financing at this time.,"We do not offer direct or indirect financing. We do not guarantee your note, lease, or obligation. || eligible for expedited and streamlined SBA loan processing to purchase the Franchised Business through the SBA’s Franchise Registry Program"
U_881baaed,EP,2025,2026,0,3,3,0 → support,no_financing_involvement,seller_store_purchase_financing | discretionary_financial_assistance_instrument_unspecified | lease_guarantee,none,franchisor | affiliate,"Neither we nor our agents or affiliates offer, either directly or indirectly, any financing arrangements. || We do not guarantee your note, lease or other obligations.","we or one of our affiliates may provide financing in connection with your purchase of a corporate-owned restaurant sold on an ""as-is"" basis, or in other limited, one-off circumstances. || we may, in our sole discretion, provide a lease guarantee for an approved restaurant site. || We or our affiliates may, in our sole discretion, lease the site approved by us for your Extreme Pita restaurant and sublease the site to you. || Lease guarantee fees, if applicable, are disclosed in Item 6 (Other Fees) of this Disclosure Document. || We do not intend to sell, assign or discount to a third party any financing arrangement."
U_3ea23802,"Equity One Franchisors, LLC",2021,2022,2,3,1,other increase,initial_fee_deferral,initial_fee_installment | formal_third_party_financing_program | loan_guarantee,franchisor,franchisor | third_party,"We may, in our sole discretion, agree to finance a portion of the Initial Franchise Fee. || It is not our practice or intent to sell, assign, or discount to a third party all or part of the financing arrangement. || Other than as described above, we do not offer direct or indirect financing. We do not guaranty your note, lease or obligation.","We may, in our sole discretion, agree to finance a portion of the Initial Franchise Fee. || We have also arranged for IPFS Corporation (“IPFS”) to offer financing for the annual premium owed on your errors and omissions insurance policy (“E&O Insurance”). || In addition, we guaranty the payments owed to IPFS."
S0584,Estrella Insurance,2022,2023,0,2,2,0 → support,no_financing_involvement,seller_fee_financing,none,franchisor,"Neither we nor our affiliates offer any direct or indirect financing arrangements to area representatives. || We do not guarantee any notes, leases or other obligations of yours to third parties. || We do not finance any portion of the Development Fee.","If you meet our credit standards, we will finance some or all of the initial franchise fee for a Commercial Office franchise over 1-year period at an interest rate of between 8% and 12% || using the standard form note (“Note”) in Appendix 1 || We do not guarantee your note, lease or obligation."
S0594,Extreme Pizza,2024,2025,0,1,1,0 → support,no_financing_involvement,third_party_lender_introduction,none,third_party,"We do not offer direct or indirect financing. We will not guarantee your note, lease or other obligations.","We do not offer direct or indirect financing. We will not guarantee your note, lease, or other obligations. We may introduce you to 3rd party companies that can assist you in the process for obtaining financing."
S0596,F45 Training,2022,2023,4,1,-3,other decrease,affiliate_direct_loan | formal_third_party_financing_program | passive_sba_directory_access | lender_referral_compensation,formal_third_party_financing_program | lender_referral_compensation | third_party_financing_arrangement_assistance | lender_referral_compensation,affiliate | third_party | franchisor,third_party,"Through FAFC LLC (“FAFC”), debt financing may be available to potential franchisees who meet certain criteria. FAFC is a joint venture between the Company and an affiliate that was established primarily for the purposes of providing debt financing to franchisees who are military veterans and have been honorably discharged since 1980. || The financing will cover the opening and pre-opening costs to open an F45 Studio, including initial franchise fee, equipment costs, construction costs, pre-opening costs, and working capital, up to a maximum loan amount of $400,000 unless otherwise approved by FAFC. || We have a relationship with Swoop Funding (“Swoop”), a funding brokerage platform that assists franchisees to obtain third-party financing. Through an agreement with Swoop, we are eligible to earn a fee equal to 20% of any commission generated by a funding transaction that is originated by Swoop. We do not provide the financing, nor do we set any terms of the financing that is sourced through Swoop. || If you are interested in obtaining a loan from a bank or other lending source that is guaranteed by the United States Small Business Administration (“SBA”), the franchisor is listed on the Franchise Registry, which means you may receive expedited loan processing through the SBA. || We and our affiliates do not have any current practice or future intent to sell, assign, or discount to a third party the promissory notes executed under the program for financing for military veterans.","Neither we nor any of our agents or affiliates offer any direct or indirect financing to you or guarantee any note, lease, or obligation for you. || We have one arrangement with a third-party financing lead source to assist franchisees who are seeking third-party lending sources. || We do not provide the financing, nor do we set any terms of the financing that is sourced through Swoop."
